product_id,title,description
101,Wireless Mouse,"Ergonomic wireless mouse with adjustable DPI, USB receiver, and long-lasting battery life."
102,Portable Charger,"High capacity 20000mAh power bank with fast charging support for smartphones and tablets."
103,Bluetooth Headphones,"Noise-cancelling over-ear Bluetooth headphones with 20 hours battery life and deep bass sound."
104,Stainless Steel Kettle,"1.7-liter electric kettle with auto shut-off, boil-dry protection, and stainless steel body."
105,Smartwatch,"Water-resistant smartwatch with heart rate monitor, GPS tracking, and customizable watch faces."
106,LED Desk Lamp,"Adjustable brightness LED desk lamp with touch control, USB charging port, and sleek modern design."
107,Wireless Keyboard,"Compact wireless keyboard with rechargeable battery, quiet keys, and multi-device connectivity."
108,External Hard Drive,"2TB portable external hard drive with USB 3.0 connectivity and shock-resistant design."
109,Noise Cancelling Earbuds,"In-ear noise cancelling earbuds with wireless charging case and sweat-resistant design."
110,Digital Camera,"24MP digital camera with 4K video recording, optical zoom, and Wi-Fi connectivity."
111,Electric Toothbrush,"Rechargeable electric toothbrush with multiple cleaning modes and built-in timer."
112,Air Purifier,"HEPA air purifier suitable for medium rooms, with real-time air quality monitoring and quiet operation."
113,Running Shoes,"Lightweight running shoes with breathable mesh upper and cushioned sole for extra comfort."
114,Backpack,"Durable travel backpack with multiple compartments, padded laptop sleeve, and water-resistant fabric."
115,Smartphone Gimbal,"3-axis handheld smartphone gimbal stabilizer with gesture control and long battery life."
116,Coffee Maker,"Programmable drip coffee maker with 12-cup capacity, auto-shutoff, and reusable filter."
117,Yoga Mat,"Non-slip yoga mat with extra thickness for comfort and carrying strap included."
118,Wireless Charger,"Fast wireless charger pad compatible with Qi-enabled devices and overcharge protection."
119,Electric Scooter,"Foldable electric scooter with 15-mile range, LED display, and multiple speed modes."
120,Smart Thermostat,"Wi-Fi enabled smart thermostat with app control and energy-saving scheduling features."
121,Smart Light Bulb,"Color changing smart light bulb with voice control compatibility and adjustable brightness."
122,Portable Speaker,"Bluetooth portable speaker with waterproof design and 10 hours of playtime."
123,Tablet Stand,"Adjustable aluminum tablet stand for desks, compatible with all tablets."
124,Wireless Gaming Mouse,"High precision wireless gaming mouse with customizable RGB lighting and programmable buttons."
125,Action Camera,"Waterproof action camera with 4K video, image stabilization, and wide-angle lens."
126,Smart Doorbell,"Video smart doorbell with two-way audio, motion detection, and cloud storage."
127,Electric Grill,"Indoor electric grill with non-stick surface and adjustable temperature controls."
128,Smart Scale,"Bluetooth body composition smart scale measuring weight, BMI, and body fat percentage."
129,VR Headset,"Immersive VR headset compatible with smartphones, featuring adjustable lenses and built-in headphones."
130,Car Dash Cam,"Full HD dash camera with night vision, loop recording, and G-sensor."
131,Wireless Earbuds,"True wireless earbuds with charging case, touch controls, and noise isolation."
132,Laptop Cooling Pad,"USB-powered laptop cooling pad with three adjustable fans and ergonomic design."
133,Smart Plug,"Wi-Fi smart plug compatible with Alexa and Google Assistant for remote appliance control."
134,Electric Blanket,"Soft electric heated blanket with multiple heat settings and auto shutoff."
